Title,Rating,Genres,Url
Martyrs (2008) ,7.1,Horror            ,www.imdb.com/title/tt1029234/
Jeepers Creepers (2001) ,6.2,"Horror, Mystery            ",www.imdb.com/title/tt0263488/
3 from Hell (2019) ,5.5,Horror            ,www.imdb.com/title/tt8134742/
Spiral: From the Book of Saw (2021) ,None,"Crime, Horror, Mystery            ",www.imdb.com/title/tt10342730/
Little Shop of Horrors (1986) ,7.0,"Comedy, Horror, Musical            ",www.imdb.com/title/tt0091419/
Stir of Echoes (1999) ,7.0,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0164181/
Becky (II) (2020) ,5.8,"Action, Drama, Horror            ",www.imdb.com/title/tt10314450/
Goosebumps 2: Haunted Halloween (2018) ,5.6,"Adventure, Comedy, Family            ",www.imdb.com/title/tt5664636/
The Strangers (2008) ,6.2,"Horror, Thriller            ",www.imdb.com/title/tt0482606/
Creepshow (1982) ,6.9,"Comedy, Fantasy, Horror            ",www.imdb.com/title/tt0083767/
Final Destination (2000) ,6.7,"Horror, Thriller            ",www.imdb.com/title/tt0195714/
Child's Play (2019) ,5.8,"Horror, Sci-Fi            ",www.imdb.com/title/tt8663516/
Devil (2010) ,6.2,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt1314655/
Crawl (I) (2019) ,6.2,"Horror, Thriller            ",www.imdb.com/title/tt8364368/
Synchronic (2019) ,6.7,"Drama, Horror, Sci-Fi            ",www.imdb.com/title/tt9016974/
Tusk (I) (2014) ,5.3,"Comedy, Drama, Horror            ",www.imdb.com/title/tt3099498/
Scream 2 (1997) ,6.2,"Horror, Mystery            ",www.imdb.com/title/tt0120082/
Bone Tomahawk (2015) ,7.1,"Drama, Horror, Western            ",www.imdb.com/title/tt2494362/
The Curse of la Llorona (2019) ,5.3,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt4913966/
The Monster Squad (1987) ,7.1,"Action, Comedy, Fantasy            ",www.imdb.com/title/tt0093560/
The Covenant (2006) ,5.3,"Action, Adventure, Fantasy            ",www.imdb.com/title/tt0475944/
Evil Dead II (1987) ,7.8,"Action, Comedy, Fantasy            ",www.imdb.com/title/tt0092991/
Haunt (I) (2019) ,6.3,"Horror, Thriller            ",www.imdb.com/title/tt6535880/
Freddy vs. Jason (2003) ,5.7,"Action, Horror            ",www.imdb.com/title/tt0329101/
Climax (I) (2018) ,7.1,"Drama, Horror, Music            ",www.imdb.com/title/tt8359848/
Happy Death Day (2017) ,6.6,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt5308322/
Texas Chainsaw 3D (2013) ,4.8,"Horror, Thriller            ",www.imdb.com/title/tt1572315/
Wrong Turn (I) (2003) ,6.1,"Horror, Thriller            ",www.imdb.com/title/tt0295700/
We Summon the Darkness (2019) ,5.2,"Horror, Music, Thriller            ",www.imdb.com/title/tt8058874/
The House That Jack Built (2018) ,6.8,"Crime, Drama, Horror            ",www.imdb.com/title/tt4003440/
Green Room (2015) ,7.0,"Horror, Music, Thriller            ",www.imdb.com/title/tt4062536/
Species (1995) ,5.8,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt0114508/
The Grudge (2020) ,4.3,"Horror, Mystery            ",www.imdb.com/title/tt3612126/
Pride and Prejudice and Zombies (2016) ,5.8,"Action, Comedy, Fantasy            ",www.imdb.com/title/tt1374989/
Brightburn (2019) ,6.1,"Drama, Horror, Mystery            ",www.imdb.com/title/tt7752126/
The Dead Don't Die (2019) ,5.5,"Comedy, Fantasy, Horror            ",www.imdb.com/title/tt8695030/
The Faculty (1998) ,6.5,"Horror, Sci-Fi            ",www.imdb.com/title/tt0133751/
Pet Sematary (1989) ,6.6,"Fantasy, Horror, Thriller            ",www.imdb.com/title/tt0098084/
Apostle (2018) ,6.3,"Drama, Fantasy, Horror            ",www.imdb.com/title/tt6217306/
The Green Inferno (2013) ,5.3,"Adventure, Horror            ",www.imdb.com/title/tt2403021/
Cloverfield (2008) ,7.0,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt1060277/
Halloween II (2009) ,4.9,Horror            ,www.imdb.com/title/tt1311067/
Marrowbone (2017) ,6.7,"Drama, Horror, Mystery            ",www.imdb.com/title/tt5886440/
Pet Sematary (2019) ,5.7,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0837563/
Paranormal Activity (2007) ,6.3,"Horror, Mystery            ",www.imdb.com/title/tt1179904/
Scouts Guide to the Zombie Apocalypse (2015) ,6.3,"Action, Comedy, Horror            ",www.imdb.com/title/tt1727776/
The Purge (I) (2013) ,5.7,"Horror, Thriller            ",www.imdb.com/title/tt2184339/
They Live (1988) ,7.3,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt0096256/
The Call (VIII) (2020) ,7.2,Horror            ,www.imdb.com/title/tt12971924/
The Babadook (2014) ,6.8,"Drama, Horror            ",www.imdb.com/title/tt2321549/
The Lords of Salem (2012) ,5.1,"Horror, Thriller            ",www.imdb.com/title/tt1731697/
