Title,Rating,Genres,Tags,Url
El hoyo (2019) ,7.0,"Horror, Sci-Fi, Thriller            ","['hunger', 'prison', 'cannibalism', 'inmate', 'platform']",https://www.imdb.com//title/tt8228288/
Suspiria (I) (2018) ,6.8,"Fantasy, Horror, Mystery            ","['telepathy', 'actress plays three characters', '1970s', 'intestines', 'academy']",https://www.imdb.com//title/tt1034415/
Alien: Covenant (2017) ,6.4,"Horror, Sci-Fi, Thriller            ","['xenomorph', 'alien', 'android', 'future', 'alien technology']",https://www.imdb.com//title/tt2316204/
Hush (I) (2016) ,6.6,"Horror, Thriller            ","['home invasion', 'writer', 'masked killer', 'deaf', 'female protagonist']",https://www.imdb.com//title/tt5022702/
Oculus (2013) ,6.5,"Horror, Mystery            ","['mirror', 'trauma', 'released from a mental hospital', 'video camera', 'brother sister relationship']",https://www.imdb.com//title/tt2388715/
The Lost Boys (1987) ,7.3,"Comedy, Horror            ","['black comedy', 'vampire', 'california', 'small town', '1980s']",https://www.imdb.com//title/tt0093437/
The Meg (2018) ,5.6,"Action, Horror, Sci-Fi            ","['love interest', 'chinawoman', 'tattooed trash', 'cleavage', 'prehistoric animal']",https://www.imdb.com//title/tt4779682/
Death of Me (2020) ,4.3,"Horror, Mystery, Thriller            ","['death in title', 'video footage', 'spiked drink', 'strangulation', 'digging a grave']",https://www.imdb.com//title/tt1830643/
The Texas Chain Saw Massacre (1974) ,7.5,Horror            ,"['chainsaw', 'hitchhiker', 'cannibal', 'evil family', 'chainsaw murder']",https://www.imdb.com//title/tt0072271/
A Quiet Place (2018) ,7.5,"Drama, Horror, Sci-Fi            ","['survival', 'sign language', 'deafness', 'silence', 'post apocalypse']",https://www.imdb.com//title/tt6644200/
Interview with the Vampire: The Vampire Chronicles (1994) ,7.5,"Drama, Horror            ","['vampire', 'gothic', 'betrayal', 'dark hero', 'immortality']",https://www.imdb.com//title/tt0110148/
The Lodge (2019) ,6.0,"Drama, Horror, Thriller            ","['mass suicide', 'suicide', 'brother sister relationship', 'lodge', 'snow']",https://www.imdb.com//title/tt7347846/
Friday the 13th Part 2 (1981) ,6.1,"Horror, Mystery, Thriller            ","['pitchfork', 'ice pick', 'slasher', 'jason voorhees', 'b movie']",https://www.imdb.com//title/tt0082418/
Underwater (2020) ,5.8,"Action, Horror, Sci-Fi            ","['sea monster', 'lovecraftian', 'researcher', 'comic relief', 'group of survivors']",https://www.imdb.com//title/tt5774060/
Halloween (2007) ,6.1,Horror            ,"['serial killer', 'serial murderer', 'sadistic psychopath', 'michael myers', 'horror movie remake']",https://www.imdb.com//title/tt0373883/
